id,categoria,aliases
16,aficiones y entretenimientos,Aficiones Y Entretenimientos|Aficiones Y Entretenimientoses|aficiones y entretenimientos|aficiones y entretenimientoses
17,afirmar y negar,Afirmar Y Negar|Afirmar Y Negares|afirmar y negar|afirmar y negares
18,"agrado, placer y alegría","Agrado, Placer Y Alegría|Agrado, Placer Y Alegrías|agrado, placer y alegria|agrado, placer y alegrias|agrado, placer y alegría|agrado, placer y alegrías"
19,agricultura,Agricultura|Agriculturas|agricultura|agriculturas
20,agua dulce,Agua Dulce|Agua Dulces|agua dulce|agua dulces
21,"agujeros, huecos y aberturas","Agujeros, Huecos Y Aberturas|Agujeros, Huecos Y Aberturases|agujeros, huecos y aberturas|agujeros, huecos y aberturases"
22,alcoholismo,Alcoholismo|Alcoholismos|alcoholismo|alcoholismos
23,alfarería,Alfarería|Alfarerías|alfareria|alfarerias|alfarería|alfarerías
24,"algas, hongos y vegetales inferiores","Algas, Hongos Y Vegetales Inferiores|Algas, Hongos Y Vegetales Inferioreses|algas, hongos y vegetales inferiores|algas, hongos y vegetales inferioreses"
25,álgebra,algebra|algebras|Álgebra|Álgebras|álgebra|álgebras
26,alimentación,Alimentación|Alimentaciónes|alimentacion|alimentaciones|alimentación|alimentaciónes
27,alimentos elaborados o cocinados,Alimentos Elaborados O Cocinados|Alimentos Elaborados O Cocinadoses|alimentos elaborados o cocinados|alimentos elaborados o cocinadoses
28,"amable, educado y simpático / descortés, rudo y antipático","Amable, Educado Y Simpático / Descortés, Rudo Y Antipático|Amable, Educado Y Simpático / Descortés, Rudo Y Antipáticos|amable, educado y simpatico / descortes, rudo y antipatico|amable, educado y simpatico / descortes, rudo y antipaticos|amable, educado y simpático / descortés, rudo y antipático|amable, educado y simpático / descortés, rudo y antipáticos"
29,análisis,Análisis|Análisises|analisis|analisises|análisis|análisises
30,anatomía,Anatomía|Anatomías|Aparato|Aparatos|Arteria|Arterias|Articulaciones|Articulacioneses|Articulación|Articulaciónes|Barba|Barbas|Bigote|Bigotes|Boca|Bocas|Brazo|Brazos|Cabello|Cabellos|Cabeza|Cabezas|Cadera|Caderas|Cerebro|Cerebros|Codo|Codos|Corazón|Corazónes|Corporal|Corporales|Cuello|Cuellos|Cuerpo|Cuerpos|Dedo|Dedos|Dermis|Dermises|Diente|Dientes|Dienteses|Encía|Encías|Epidermis|Epidermises|Espalda|Espaldas|Esqueleto|Esqueletos|Estómago|Estómagos|Hombro|Hombros|Hueso|Huesos|Huesoses|Hígado|Hígados|Intestino|Intestinos|Labio|Labios|Labioses|Lengua|Lenguas|Mano|Manos|Muñeca|Muñecas|Músculo|Músculos|Músculoses|Narices|Nariz|Nervio|Nervios|Nervioses|Ojo|Ojos|Oreja|Orejas|Pecho|Pechos|Peinado|Peinados|Pelo|Pelos|Pie|Piel|Pieles|Pierna|Piernas|Pies|Pulmones|Pulmoneses|Pulmón|Pulmónes|Riñones|Riñoneses|Riñón|Riñónes|Rodilla|Rodillas|Sangre|Sangres|Sistema|Sistemas|Tejido|Tejidos|Tejidoses|Tobillo|Tobillos|Torso|Torsos|Uña|Uñas|Vaso Sanguíneo|Vaso Sanguíneos|Vena|Venas|anatomia|anatomias|anatomía|anatomías|aparato|aparatos|arteria|arterias|articulacion|articulaciones|articulacioneses|articulación|articulaciónes|barba|barbas|bigote|bigotes|boca|bocas|brazo|brazos|cabello|cabellos|cabeza|cabezas|cadera|caderas|cerebro|cerebros|codo|codos|corazon|corazones|corazón|corazónes|corporal|corporales|cuello|cuellos|cuerpo|cuerpos|dedo|dedos|dermis|dermises|diente|dientes|dienteses|encia|encias|encía|encías|epidermis|epidermises|espalda|espaldas|esqueleto|esqueletos|estomago|estomagos|estómago|estómagos|higado|higados|hombro|hombros|hueso|huesos|huesoses|hígado|hígados|intestino|intestinos|labio|labios|labioses|lengua|lenguas|mano|manos|muneca|munecas|musculo|musculos|musculoses|muñeca|muñecas|músculo|músculos|músculoses|narices|nariz|nervio|nervios|nervioses|ojo|ojos|oreja|orejas|organo|organos|organoses|pecho|pechos|peinado|peinados|pelo|pelos|pie|piel|pieles|pierna|piernas|pies|pulmon|pulmones|pulmoneses|pulmón|pulmónes|rinon|rinones|rinoneses|riñones|riñoneses|riñón|riñónes|rodilla|rodillas|sangre|sangres|sistema|sistemas|tejido|tejidos|tejidoses|tobillo|tobillos|torso|torsos|una|unas|uña|uñas|vaso sanguineo|vaso sanguineos|vaso sanguíneo|vaso sanguíneos|vena|venas|Órgano|Órganos|Órganoses|órgano|órganos|órganoses
31,anatomía animal compartida con la humana,Anatomía Animal Compartida Con La Humana|Anatomía Animal Compartida Con La Humanas|anatomia animal compartida con la humana|anatomia animal compartida con la humanas|anatomía animal compartida con la humana|anatomía animal compartida con la humanas
32,anatomía exclusivamente animal,Anatomía Exclusivamente Animal|Anatomía Exclusivamente Animales|anatomia exclusivamente animal|anatomia exclusivamente animales|anatomía exclusivamente animal|anatomía exclusivamente animales
33,anatomía vegetal,Anatomía Vegetal|Anatomía Vegetales|anatomia vegetal|anatomia vegetales|anatomía vegetal|anatomía vegetales
34,anfibios y reptiles,Anfibios Y Reptiles|Anfibios Y Reptileses|anfibios y reptiles|anfibios y reptileses
35,animales,Animales|Animaleses|animales|animaleses
36,antropología,Antropología|Antropologías|antropologia|antropologias|antropología|antropologías
37,antropónimos,Antropónimos|Antropónimoses|antroponimos|antroponimoses|antropónimos|antropónimoses
38,apicultura,Apicultura|Apiculturas|apicultura|apiculturas
39,apretar y tensar / aflojar,Apretar Y Tensar / Aflojar|Apretar Y Tensar / Aflojares|apretar y tensar / aflojar|apretar y tensar / aflojares
40,aptitud y habilidad / torpeza,Aptitud Y Habilidad / Torpeza|Aptitud Y Habilidad / Torpezas|aptitud y habilidad / torpeza|aptitud y habilidad / torpezas
41,árboles y arbustos,arboles y arbustos|arboles y arbustoses|Árboles Y Arbustos|Árboles Y Arbustoses|árboles y arbustos|árboles y arbustoses
42,archivística y biblioteconomía,Archivística Y Biblioteconomía|Archivística Y Biblioteconomías|archivistica y biblioteconomia|archivistica y biblioteconomias|archivística y biblioteconomía|archivística y biblioteconomías
43,aritmética,Aritmética|Aritméticas|aritmetica|aritmeticas|aritmética|aritméticas
44,armas y explosivos,Armas Y Explosivos|Armas Y Explosivoses|armas y explosivos|armas y explosivoses
45,arquitectura,Alzado|Alzados|Arquitectura|Arquitecturas|Construcción|Construcciónes|Diseño|Diseños|Edificación|Edificaciónes|Estructura|Estructuras|Planta|Plantas|alzado|alzados|arquitectura|arquitecturas|construccion|construcciones|construcción|construcciónes|diseno|disenos|diseño|diseños|edificacion|edificaciones|edificación|edificaciónes|estructura|estructuras|planta|plantas
46,arquitectura militar,Arquitectura Militar|Arquitectura Militares|arquitectura militar|arquitectura militares
47,arquitectura religiosa,Arquitectura Religiosa|Arquitectura Religiosas|arquitectura religiosa|arquitectura religiosas
48,arte,Arte|Artes|Arteses|Dibujo|Dibujos|Escultura|Esculturas|Grabado|Grabados|Pintura|Pinturas|Plástica|Plásticas|arte|artes|arteses|dibujo|dibujos|escultura|esculturas|grabado|grabados|pintura|pinturas|plastica|plasticas|plástica|plásticas
49,artes escénicas,Artes Escénicas|Artes Escénicases|artes escenicas|artes escenicases|artes escénicas|artes escénicases
50,artes visuales,Artes Visuales|Artes Visualeses|artes visuales|artes visualeses
51,aspecto físico,Aspecto Físico|Aspecto Físicos|aspecto fisico|aspecto fisicos|aspecto físico|aspecto físicos
52,aspecto y apariencia,Aspecto Y Apariencia|Aspecto Y Apariencias|aspecto y apariencia|aspecto y apariencias
53,astrología y ciencias ocultas,Astrología Y Ciencias Ocultas|Astrología Y Ciencias Ocultases|astrologia y ciencias ocultas|astrologia y ciencias ocultases|astrología y ciencias ocultas|astrología y ciencias ocultases
54,astronomía,Astronomía|Astronomías|Astronómico|Astronómicos|Cielo|Cielos|Estrella|Estrellas|Galaxia|Galaxias|Planeta|Planetas|Telescopio|Telescopios|astronomia|astronomias|astronomico|astronomicos|astronomía|astronomías|astronómico|astronómicos|cielo|cielos|estrella|estrellas|galaxia|galaxias|planeta|planetas|telescopio|telescopios
55,asuntos y temas,Asuntos Y Temas|Asuntos Y Temases|asuntos y temas|asuntos y temases
56,atender y percatarse / distraer,Atender Y Percatarse / Distraer|Atender Y Percatarse / Distraeres|atender y percatarse / distraer|atender y percatarse / distraeres
57,aumentar y ampliar / disminuir y moderar,Aumentar Y Ampliar / Disminuir Y Moderar|Aumentar Y Ampliar / Disminuir Y Moderares|aumentar y ampliar / disminuir y moderar|aumentar y ampliar / disminuir y moderares
58,ausencia de movimiento o impedimentos / abrir paso,Ausencia De Movimiento O Impedimentos / Abrir Paso|Ausencia De Movimiento O Impedimentos / Abrir Pasos|ausencia de movimiento o impedimentos / abrir paso|ausencia de movimiento o impedimentos / abrir pasos
59,aves,Ave|Aves|Aveses|Aviar|Aviares|Ornitología|Ornitologías|Pájaro|Pájaros|Pájaroses|ave|aves|aveses|aviar|aviares|ornitologia|ornitologias|ornitologico|ornitología|ornitologías|ornitológico|pajaro|pajaros|pajaroses|pájaro|pájaros|pájaroses
60,baile,Baile|Bailes|baile|bailes
61,bebidas,Bebidas|Bebidases|bebidas|bebidases
62,"belleza, elegancia y compostura / fealdad y desaliño","Belleza, Elegancia Y Compostura / Fealdad Y Desaliño|Belleza, Elegancia Y Compostura / Fealdad Y Desaliños|belleza, elegancia y compostura / fealdad y desalino|belleza, elegancia y compostura / fealdad y desalinos|belleza, elegancia y compostura / fealdad y desaliño|belleza, elegancia y compostura / fealdad y desaliños"
63,bienes y posesiones,Bienes Y Posesiones|Bienes Y Posesioneses|bienes y posesiones|bienes y posesioneses
64,biología,Biología|Biologías|biologia|biologias|biología|biologías
65,biología general,Biología General|Biología Generales|biologia general|biologia generales|biología general|biología generales
66,biología molecular y bioquímica,Biología Molecular Y Bioquímica|Biología Molecular Y Bioquímicas|biologia molecular y bioquimica|biologia molecular y bioquimicas|biología molecular y bioquímica|biología molecular y bioquímicas
67,bolsa,Bolsa|Bolsas|bolsa|bolsas
68,bondad y honestidad,Bondad Y Honestidad|Bondad Y Honestidades|bondad y honestidad|bondad y honestidades
69,botánica,Botánica|Botánicas|Botánico|Botánicos|Fitología|Fitologías|Flora|Floras|Plantas|Plantases|botanica|botanicas|botanico|botanicos|botánica|botánicas|botánico|botánicos|fitologia|fitologias|fitología|fitologías|flora|floras|plantas|plantases
70,bueno y perfecto / malo e imperfecto,Bueno Y Perfecto / Malo E Imperfecto|Bueno Y Perfecto / Malo E Imperfectos|bueno y perfecto / malo e imperfecto|bueno y perfecto / malo e imperfectos
71,caballería y órdenes militares y civiles,Caballería Y Órdenes Militares Y Civiles|Caballería Y Órdenes Militares Y Civileses|caballeria y ordenes militares y civiles|caballeria y ordenes militares y civileses|caballería y órdenes militares y civiles|caballería y órdenes militares y civileses
72,callar,Callar|Callares|callar|callares
73,calma y tranquilidad,Calma Y Tranquilidad|Calma Y Tranquilidades|calma y tranquilidad|calma y tranquilidades
74,calzado,Calzado|Calzados|calzado|calzados
75,"cambiar, modificar y sustituir","Cambiar, Modificar Y Sustituir|Cambiar, Modificar Y Sustituires|cambiar, modificar y sustituir|cambiar, modificar y sustituires"
76,cambio de posesión,Cambio De Posesión|Cambio De Posesiónes|cambio de posesion|cambio de posesiones|cambio de posesión|cambio de posesiónes
77,cantería,Cantería|Canterías|canteria|canterias|cantería|canterías
78,cantidades imprecisas,Cantidades Imprecisas|Cantidades Imprecisases|cantidades imprecisas|cantidades imprecisases
79,capacidad: meter e incluir / sacar y excluir,Capacidad: Meter E Incluir / Sacar Y Excluir|Capacidad: Meter E Incluir / Sacar Y Excluires|capacidad: meter e incluir / sacar y excluir|capacidad: meter e incluir / sacar y excluires
80,característica e identidad,Característica E Identidad|Característica E Identidades|caracteristica e identidad|caracteristica e identidades|característica e identidad|característica e identidades
81,características del territorio,Características Del Territorio|Características Del Territorios|caracteristicas del territorio|caracteristicas del territorios|características del territorio|características del territorios
82,carboneo,Carboneo|Carboneos|carboneo|carboneos
83,"cargos, honores y tratamientos","Cargos, Honores Y Tratamientos|Cargos, Honores Y Tratamientoses|cargos, honores y tratamientos|cargos, honores y tratamientoses"
84,carpintería,Carpintería|Carpinterías|carpinteria|carpinterias|carpintería|carpinterías
85,caza,Caza|Cazas|caza|cazas
86,cestería,Cestería|Cesterías|cesteria|cesterias|cestería|cesterías
87,ciclo de la vida,Ciclo De La Vida|Ciclo De La Vidas|ciclo de la vida|ciclo de la vidas
88,ciencias ambientales,Ciencias Ambientales|Ciencias Ambientaleses|ciencias ambientales|ciencias ambientaleses
89,ciencias biológicas,Ciencias Biológicas|Ciencias Biológicases|ciencias biologicas|ciencias biologicases|ciencias biológicas|ciencias biológicases
90,ciencias de la materia,Ciencias De La Materia|Ciencias De La Materias|ciencias de la materia|ciencias de la materias
91,ciencias de la salud,Ciencias De La Salud|Ciencias De La Saludes|ciencias de la salud|ciencias de la saludes
92,ciencias de la tecnología,Ciencias De La Tecnología|Ciencias De La Tecnologías|ciencias de la tecnologia|ciencias de la tecnologias|ciencias de la tecnología|ciencias de la tecnologías
93,ciencias de la vida,Ciencias De La Vida|Ciencias De La Vidas|ciencias de la vida|ciencias de la vidas
94,ciencias experimentales,Ciencias Experimentales|Ciencias Experimentaleses|ciencias experimentales|ciencias experimentaleses
95,ciencias físicas,Ciencias Físicas|Ciencias Físicases|ciencias fisicas|ciencias fisicases|ciencias físicas|ciencias físicases
96,ciencias geológicas,Ciencias Geológicas|Ciencias Geológicases|ciencias geologicas|ciencias geologicases|ciencias geológicas|ciencias geológicases
97,ciencias humanas,Ciencias Humanas|Ciencias Humanases|ciencias humanas|ciencias humanases
98,ciencias matemáticas,Ciencias Matemáticas|Ciencias Matemáticases|ciencias matematicas|ciencias matematicases|ciencias matemáticas|ciencias matemáticases
99,ciencias meteorológicas,Ciencias Meteorológicas|Ciencias Meteorológicases|ciencias meteorologicas|ciencias meteorologicases|ciencias meteorológicas|ciencias meteorológicases
100,ciencias químicas,Ciencias Químicas|Ciencias Químicases|ciencias quimicas|ciencias quimicases|ciencias químicas|ciencias químicases
101,circunstancias favorables,Circunstancias Favorables|Circunstancias Favorableses|circunstancias favorables|circunstancias favorableses
102,coger y tocar / soltar,Coger Y Tocar / Soltar|Coger Y Tocar / Soltares|coger y tocar / soltar|coger y tocar / soltares
103,color,Color|Colores|color|colores
104,combustibles fósiles y derivados,Combustibles Fósiles Y Derivados|Combustibles Fósiles Y Derivadoses|combustibles fosiles y derivados|combustibles fosiles y derivadoses|combustibles fósiles y derivados|combustibles fósiles y derivadoses
105,comerciante,Comerciante|Comerciantes|comerciante|comerciantes
106,comercios y tiendas,Comercios Y Tiendas|Comercios Y Tiendases|comercios y tiendas|comercios y tiendases
107,"comienzo, causa y efecto","Comienzo, Causa Y Efecto|Comienzo, Causa Y Efectos|comienzo, causa y efecto|comienzo, causa y efectos"
108,complementos,Complementos|Complementoses|complementos|complementoses
109,comunicación,Comunicación|Comunicaciónes|comunicacion|comunicaciones|comunicación|comunicaciónes
110,comunicación escrita,Comunicación Escrita|Comunicación Escritas|comunicacion escrita|comunicacion escritas|comunicación escrita|comunicación escritas
111,comunicación no verbal,Comunicación No Verbal|Comunicación No Verbales|comunicacion no verbal|comunicacion no verbales|comunicación no verbal|comunicación no verbales
112,conceptos psicológicos,Conceptos Psicológicos|Conceptos Psicológicoses|conceptos psicologicos|conceptos psicologicoses|conceptos psicológicos|conceptos psicológicoses
113,concursos y competiciones,Concursos Y Competiciones|Concursos Y Competicioneses|concursos y competiciones|concursos y competicioneses
114,condenas,Condenas|Condenases|condenas|condenases
115,conducción,Conducción|Conducciónes|conduccion|conducciones|conducción|conducciónes
116,conducta y emotividad,Conducta Y Emotividad|Conducta Y Emotividades|conducta y emotividad|conducta y emotividades
117,conocimiento y experiencia,Conocimiento Y Experiencia|Conocimiento Y Experiencias|conocimiento y experiencia|conocimiento y experiencias
118,construcción,Construcción|Construcciónes|construccion|construcciones|construcción|construcciónes
119,contabilidad y banca,Contabilidad Y Banca|Contabilidad Y Bancas|contabilidad y banca|contabilidad y bancas
120,contenedores y recipientes,Contenedores Y Recipientes|Contenedores Y Recipienteses|contenedores y recipientes|contenedores y recipienteses
121,correcto / equivocado,Correcto / Equivocado|Correcto / Equivocados|correcto / equivocado|correcto / equivocados
122,correo y telégrafo,Correo Y Telégrafo|Correo Y Telégrafos|correo y telegrafo|correo y telegrafos|correo y telégrafo|correo y telégrafos
123,corrientes literarias y sus seguidores,Corrientes Literarias Y Sus Seguidores|Corrientes Literarias Y Sus Seguidoreses|corrientes literarias y sus seguidores|corrientes literarias y sus seguidoreses
124,corrientes y doctrinas artísticas,Corrientes Y Doctrinas Artísticas|Corrientes Y Doctrinas Artísticases|corrientes y doctrinas artisticas|corrientes y doctrinas artisticases|corrientes y doctrinas artísticas|corrientes y doctrinas artísticases
125,corrientes y doctrinas filosóficas,Corrientes Y Doctrinas Filosóficas|Corrientes Y Doctrinas Filosóficases|corrientes y doctrinas filosoficas|corrientes y doctrinas filosoficases|corrientes y doctrinas filosóficas|corrientes y doctrinas filosóficases
126,creencias,Creencias|Creenciases|creencias|creenciases
127,creencias y prácticas religiosas,Creencias Y Prácticas Religiosas|Creencias Y Prácticas Religiosases|creencias y practicas religiosas|creencias y practicas religiosases|creencias y prácticas religiosas|creencias y prácticas religiosases
128,cualidad,Cualidad|Cualidades|cualidad|cualidades
129,cuerdas y cables,Cuerdas Y Cables|Cuerdas Y Cableses|cuerdas y cables|cuerdas y cableses
130,cuidados estéticos,Cuidados Estéticos|Cuidados Estéticoses|cuidados esteticos|cuidados esteticoses|cuidados estéticos|cuidados estéticoses
131,culpa y disculpa,Culpa Y Disculpa|Culpa Y Disculpas|culpa y disculpa|culpa y disculpas
132,cultivo del café,Cultivo Del Café|Cultivo Del Cafés|cultivo del cafe|cultivo del cafes|cultivo del café|cultivo del cafés
133,cultivo del maíz,Cultivo Del Maíces|Cultivo Del Maíz|cultivo del maices|cultivo del maiz|cultivo del maíces|cultivo del maíz
134,cultivo del plátano,Cultivo Del Plátano|Cultivo Del Plátanos|cultivo del platano|cultivo del platanos|cultivo del plátano|cultivo del plátanos
135,cultura,Cultura|Culturas|cultura|culturas
136,delincuencia e infracciones,Delincuencia E Infracciones|Delincuencia E Infraccioneses|delincuencia e infracciones|delincuencia e infraccioneses
137,deportes,Deportes|Deporteses|deportes|deporteses
138,derecho y legislación,Derecho Y Legislación|Derecho Y Legislaciónes|derecho y legislacion|derecho y legislaciones|derecho y legislación|derecho y legislaciónes
139,derechos y facultades,Derechos Y Facultades|Derechos Y Facultadeses|derechos y facultades|derechos y facultadeses
140,desagradar y no interesar,Desagradar Y No Interesar|Desagradar Y No Interesares|desagradar y no interesar|desagradar y no interesares
141,desarrollo de la acción,Desarrollo De La Acción|Desarrollo De La Acciónes|desarrollo de la accion|desarrollo de la acciones|desarrollo de la acción|desarrollo de la acciónes
142,desconocimiento e inexperiencia,Desconocimiento E Inexperiencia|Desconocimiento E Inexperiencias|desconocimiento e inexperiencia|desconocimiento e inexperiencias
143,descripción del estado de salud,Descripción Del Estado De Salud|Descripción Del Estado De Saludes|descripcion del estado de salud|descripcion del estado de saludes|descripción del estado de salud|descripción del estado de saludes
144,descripción y comportamiento animal,Descripción Y Comportamiento Animal|Descripción Y Comportamiento Animales|descripcion y comportamiento animal|descripcion y comportamiento animales|descripción y comportamiento animal|descripción y comportamiento animales
145,descripción y procesos de los vegetales,Descripción Y Procesos De Los Vegetales|Descripción Y Procesos De Los Vegetaleses|descripcion y procesos de los vegetales|descripcion y procesos de los vegetaleses|descripción y procesos de los vegetales|descripción y procesos de los vegetaleses
146,designar y nombrar,Designar Y Nombrar|Designar Y Nombrares|designar y nombrar|designar y nombrares
147,desorden,Desorden|Desordenes|desorden|desordenes
148,deudas y acreedores,Deudas Y Acreedores|Deudas Y Acreedoreses|deudas y acreedores|deudas y acreedoreses
149,dibujo y pintura,Dibujo Y Pintura|Dibujo Y Pinturas|dibujo y pintura|dibujo y pinturas
150,"diferencia, desigualdad y desproporción","Diferencia, Desigualdad Y Desproporción|Diferencia, Desigualdad Y Desproporciónes|diferencia, desigualdad y desproporcion|diferencia, desigualdad y desproporciones|diferencia, desigualdad y desproporción|diferencia, desigualdad y desproporciónes"
151,diligencia y esfuerzo,Diligencia Y Esfuerzo|Diligencia Y Esfuerzos|diligencia y esfuerzo|diligencia y esfuerzos
152,dimensiones,Dimensiones|Dimensioneses|dimensiones|dimensioneses
153,dinero y monedas,Dinero Y Monedas|Dinero Y Monedases|dinero y monedas|dinero y monedases
154,diplomacia,Diplomacia|Diplomacias|diplomacia|diplomacias
155,dirección del movimiento,Dirección Del Movimiento|Dirección Del Movimientos|direccion del movimiento|direccion del movimientos|dirección del movimiento|dirección del movimientos
156,distribución y partes de los edificios,Distribución Y Partes De Los Edificios|Distribución Y Partes De Los Edificioses|distribucion y partes de los edificios|distribucion y partes de los edificioses|distribución y partes de los edificios|distribución y partes de los edificioses
157,distribuir y repartir,Distribuir Y Repartir|Distribuir Y Repartires|distribuir y repartir|distribuir y repartires
158,"doblar, torcer y arrugar / desdoblar, enderezar y alisar","Doblar, Torcer Y Arrugar / Desdoblar, Enderezar Y Alisar|Doblar, Torcer Y Arrugar / Desdoblar, Enderezar Y Alisares|doblar, torcer y arrugar / desdoblar, enderezar y alisar|doblar, torcer y arrugar / desdoblar, enderezar y alisares"
159,doctrinas religiosas,Doctrinas Religiosas|Doctrinas Religiosases|doctrinas religiosas|doctrinas religiosases
160,documentos,Documentos|Documentoses|documentos|documentoses
161,donativos y regalos,Donativos Y Regalos|Donativos Y Regaloses|donativos y regalos|donativos y regaloses
162,ecdótica,Ecdótica|Ecdóticas|ecdotica|ecdoticas|ecdótica|ecdóticas
163,economía y empresa,Economía Y Empresa|Economía Y Empresas|economia y empresa|economia y empresas|economía y empresa|economía y empresas
164,economía y producción,Economía Y Producción|Economía Y Producciónes|economia y produccion|economia y producciones|economía y producción|economía y producciónes
165,edad adulta y vejez,Edad Adulta Y Vejeces|Edad Adulta Y Vejez|edad adulta y vejeces|edad adulta y vejez
166,"edición, imprenta y libros","Edición, Imprenta Y Libros|Edición, Imprenta Y Libroses|edicion, imprenta y libros|edicion, imprenta y libroses|edición, imprenta y libros|edición, imprenta y libroses"
167,edificaciones y sus tipos,Edificaciones Y Sus Tipos|Edificaciones Y Sus Tiposes|edificaciones y sus tipos|edificaciones y sus tiposes
168,educación,Educación|Educaciónes|educacion|educaciones|educación|educaciónes
169,ejército y conflictos bélicos,Ejército Y Conflictos Bélicos|Ejército Y Conflictos Bélicoses|ejercito y conflictos belicos|ejercito y conflictos belicoses|ejército y conflictos bélicos|ejército y conflictos bélicoses
170,el individuo,El Individuo|El Individuos|el individuo|el individuos
171,el mundo,El Mundo|El Mundos|el mundo|el mundos
172,elecciones,Elecciones|Eleccioneses|elecciones|eleccioneses
173,electricidad y electrónica,Electricidad Y Electrónica|Electricidad Y Electrónicas|electricidad y electronica|electricidad y electronicas|electricidad y electrónica|electricidad y electrónicas
174,elegir y decidir / descartar,Elegir Y Decidir / Descartar|Elegir Y Decidir / Descartares|elegir y decidir / descartar|elegir y decidir / descartares
175,elementos arquitectónicos,Elementos Arquitectónicos|Elementos Arquitectónicoses|elementos arquitectonicos|elementos arquitectonicoses|elementos arquitectónicos|elementos arquitectónicoses
176,elementos y compuestos químicos,Elementos Y Compuestos Químicos|Elementos Y Compuestos Químicoses|elementos y compuestos quimicos|elementos y compuestos quimicoses|elementos y compuestos químicos|elementos y compuestos químicoses
177,"eludir, eximir y prescindir","Eludir, Eximir Y Prescindir|Eludir, Eximir Y Prescindires|eludir, eximir y prescindir|eludir, eximir y prescindires"
178,embarcaciones,Embarcaciones|Embarcacioneses|embarcaciones|embarcacioneses
179,"empatía, compasión y consuelo / intolerancia y severidad","Empatía, Compasión Y Consuelo / Intolerancia Y Severidad|Empatía, Compasión Y Consuelo / Intolerancia Y Severidades|empatia, compasion y consuelo / intolerancia y severidad|empatia, compasion y consuelo / intolerancia y severidades|empatía, compasión y consuelo / intolerancia y severidad|empatía, compasión y consuelo / intolerancia y severidades"
180,"encontrar, perder y buscar","Encontrar, Perder Y Buscar|Encontrar, Perder Y Buscares|encontrar, perder y buscar|encontrar, perder y buscares"
181,enfermedad,Enfermedad|Enfermedades|enfermedad|enfermedades
182,enfermedades de las plantas,Enfermedades De Las Plantas|Enfermedades De Las Plantases|enfermedades de las plantas|enfermedades de las plantases
183,enojo y cólera,Enojo Y Cólera|Enojo Y Cóleras|enojo y colera|enojo y coleras|enojo y cólera|enojo y cóleras
184,"entereza, constancia y obstinación / flaqueza e inconstancia","Entereza, Constancia Y Obstinación / Flaqueza E Inconstancia|Entereza, Constancia Y Obstinación / Flaqueza E Inconstancias|entereza, constancia y obstinacion / flaqueza e inconstancia|entereza, constancia y obstinacion / flaqueza e inconstancias|entereza, constancia y obstinación / flaqueza e inconstancia|entereza, constancia y obstinación / flaqueza e inconstancias"
185,entrar y llegar / salir y partir,Entrar Y Llegar / Salir Y Partir|Entrar Y Llegar / Salir Y Partires|entrar y llegar / salir y partir|entrar y llegar / salir y partires
186,equitación y caballerías,Equitación Y Caballerías|Equitación Y Caballeríases|equitacion y caballerias|equitacion y caballeriases|equitación y caballerías|equitación y caballeríases
187,"esclavitud, feudalismo y vasallaje","Esclavitud, Feudalismo Y Vasallaje|Esclavitud, Feudalismo Y Vasallajes|esclavitud, feudalismo y vasallaje|esclavitud, feudalismo y vasallajes"
188,escultura,Escultura|Esculturas|escultura|esculturas
